Date,Mouse #,Cage #,ZT,Sex,Group,Plated Volume (uL),Plated Beads Volume (uL),Bead Stock Conc (beads/uL),Well Bead Conc (beads/uL),Conversion Factor (Divide Cell Events by this to get conc per well),Counting Beads | Count,Total Event Count,Microglia Events,CD206+ Microglia Events,Monocytes_DC Events,Neutrophil Events,TB Focus Viability %,Total Lymphocyte Events (in TB Focus),T-Cell Events,TCRgd T Cell Events,TCRb+ T Cell Events,CD8+ T Cell Events,CD4+ T Cell Events,CD-- T Cell Events,B Cell Events,Total Lymphocytes (Test Screen),,Microglia Counts,CD206+ Microglia Counts,% CD206+ Microglia,Monocytes_DC Counts,Neutrophil Counts,TB Focus Viability %,Total Lymphocyte Counts (in TB Focus),T-Cell Counts,TCRgd T Cell Counts,TCRb+ T Cell Counts,CD8+ T Cell Counts,CD4+ T Cell Counts,CD-- T Cell Counts,B Cell Counts,Total Lymphocytes (Test Screen)
9/18/2024,7,Aged_37A,6,M,4-WT-18,200,25,980,122.5,140.6122449,17225,5.51E+05,5147,3706,1760,1656,58.9,7834,853,9,801,510,221,70,940,7113,,7320.8418,5271.233672,72.00310861,2503.338171,2355.413643,58.9,11142.69956,1213.265602,12.8011611,1139.303338,725.3991292,314.3396226,99.56458636,1337.01016,10117.18433
9/18/2024,8,3xTg_7.4A,18,M,3-3xTg-9,200,25,980,122.5,1.208163265,148,1216,37,34,1,1,19.4,27,1,0,1,0,1,0,1,21,,6125,5628.378378,91.89189189,165.5405405,165.5405405,19.4,4469.594595,165.5405405,0,165.5405405,0,165.5405405,0,165.5405405,3476.351351
9/18/2024,9,3xTg_7.4A,18,M,3-3xTg-9,200,25,980,122.5,135.1346939,16554,213488,3537,2636,643,325,65.6,4100,518,11,479,314,141,22,298,3323,,5234.777093,3901.292739,74.52643483,951.6431074,481.0015706,65.6,6068.019814,766.6425033,16.28005316,708.9223148,464.7215175,208.6806814,32.56010632,441.0414401,4918.056059
11/13/2024,1,6M_3B,6,F,1-WT-6,200,25,980,122.5,136.1877551,16683,274336,10678,8375,448,170,14.8,9664,190,4,177,70,85,19,305,7874,,15681.29233,12299.19679,78.43229069,657.9152431,249.6553378,14.8,14192.17167,279.026554,5.874243242,259.9352634,102.7992567,124.8276689,27.9026554,447.9110472,11563.44782
11/13/2024,2,6M_3B,6,F,1-WT-6,200,25,980,122.5,132.7428571,16261,243040,9417,7368,331,147,27.8,8501,172,7,163,64,85,13,218,6876,,14188.33405,11101.16229,78.24147818,498.7085665,221.4808437,27.8,12808.22213,259.1476539,10.54670684,245.5876022,96.42703401,128.0671545,19.58674128,328.4545846,10359.87947
11/13/2024,3,9M_1B,18,F,2-WT-9,200,25,980,122.5,131.3142857,16086,316184,5495,4310,264,139,40.9,4753,188,3,181,102,69,9,226,3872,,8369.234117,6564.403829,78.43494086,402.0887728,211.7058312,40.9,7239.120975,286.3359443,4.569190601,275.6744996,155.3524804,105.0913838,13.7075718,344.2123586,5897.302002
11/13/2024,4,9M_1B,18,F,2-WT-9,200,25,980,122.5,126.7428571,15526,4.29E+05,6683,5128,499,260,20.1,6043,445,5,433,269,130,32,344,4862,,10545.76195,8091.974752,76.73200658,787.4211001,410.2795311,20.1,9535.843102,702.2091975,7.889990983,683.2732191,424.4815149,205.1397656,50.49594229,542.8313796,7672.227232
11/13/2024,5,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,128.6530612,15760,342024,11505,9011,648,356,28.9,10119,311,6,294,128,138,26,239,8194,,17885.31091,14008.21701,78.32246849,1007.360406,553.4263959,28.9,15730.67893,483.4708122,9.327411168,457.0431472,198.9847716,214.5304569,40.41878173,371.5418782,12738.13452
11/13/2024,6,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,127.5591837,15626,5.62E+05,5262,3935,552,189,61.5,4342,382,4,372,188,158,26,211,3544,,8250.287982,6169.68514,74.78145192,865.4806092,296.3330347,61.5,6807.8203,598.937668,6.271598618,583.2586714,294.765135,247.7281454,40.76539101,330.8268271,5556.636375
11/13/2024,7,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,127.6734694,15640,5.45E+05,7222,5635,1356,1519,34.2,7298,492,17,461,215,217,29,690,6977,,11313.23529,8827.205882,78.02547771,2124.168798,2379.507673,34.2,11432.289,770.7161125,26.63043478,722.1547315,336.7966752,339.9296675,45.42838875,1080.882353,10929.44373
11/13/2024,8,18M_1B,18,F,4-WT-18,200,25,980,122.5,116.3918367,14258,7.30E+05,12056,9049,695,174,72.4,7912,608,8,594,353,208,32,173,6068,,20716.22949,15549.20045,75.05806238,1194.241829,298.9900407,72.4,13595.45518,1044.746809,13.74666854,1020.690139,606.5717492,357.413382,54.98667415,297.2717071,10426.84809
11/13/2024,9,18M_2B,6,F,4-WT-18,200,25,980,122.5,119.6,14651,9.64E+05,7794,5626,1539,545,85.5,6842,633,6,624,364,234,25,585,6041,,13033.44482,9408.026756,72.18373108,2573.578595,911.3712375,85.5,11441.47157,1058.528428,10.03344482,1043.478261,608.6956522,391.3043478,41.80602007,978.2608696,10102.00669
11/13/2024,10,3xTg_12.1A2,6,M,3-3xTg-9,200,25,980,122.5,123.6326531,15145,273352,5104,3857,1174,1608,33,6771,443,7,425,205,193,25,1418,6666,,8256.718389,6239.451964,75.56818182,1899.174645,2601.254539,33,10953.41697,716.6391548,11.32386926,687.5206339,331.6275999,312.2152526,40.44239023,2293.892374,10783.55893
11/15/2024,1,6M_2A,6,M,1-WT-6,200,25,1020,127.5,115.4588235,14721,212656,3742,2549,550,515,30.7,4424,328,8,270,121,119,27,560,4102,,6481.96454,4415.426941,68.11865313,952.7206032,892.0929285,30.7,7663.338088,568.1679234,13.85775423,467.6992052,209.5985327,206.1340942,46.76992052,970.042796,7105.563481
11/15/2024,2,6M_2A,6,M,1-WT-6,200,25,1020,127.5,110.2823529,14061,285904,6434,4428,418,224,19.9,6036,348,4,328,190,116,19,269,4980,,11668.23128,8030.296565,68.82188374,758.0541924,406.2299979,19.9,10946.44762,631.1073181,7.254107105,594.8367826,344.5700875,210.369106,34.45700875,487.8387028,9031.363345
11/15/2024,3,9M_1A,18,M,2-WT-9,200,25,1020,127.5,112.1176471,14295,269920,4689,3156,517,833,58.4,5059,435,1,394,225,148,21,468,4839,,8364.428122,5629.80063,67.30646193,922.2455404,1485.93914,58.4,9024.449108,775.9706191,1.783840504,702.8331584,401.3641133,264.0083945,37.46065058,834.8373557,8632.004197
11/15/2024,4,9M_1A,18,M,2-WT-9,200,25,1020,127.5,110.6980392,14114,361352,7048,4870,617,643,35.4,7576,518,4,489,345,116,23,758,6636,,12733.73955,8798.7105,69.09761635,1114.744226,1161.718861,35.4,13687.68599,935.8792688,7.226866941,883.4844835,623.3172736,209.5791413,41.55448491,1369.491285,11989.37225
11/15/2024,5,WT_3.5A1,6,M,4-WT-18,200,25,1020,127.5,110.6588235,14109,4.85E+05,3561,2250,1140,488,65.6,5214,860,4,829,493,262,65,1046,4905,,6435.998299,4066.553264,63.18449874,2060.386987,881.990219,65.6,9423.55943,1554.327025,7.229428025,1498.298958,891.027004,473.5275356,117.4782054,1890.495428,8865.086115
11/15/2024,6,WT_3.5A2,6,M,4-WT-18,200,25,1020,127.5,108.1254902,13786,319688,8886,5682,667,974,44.1,8387,481,6,427,263,129,35,779,7664,,16436.45728,10510.01016,63.94328157,1233.751632,1801.610329,44.1,15513.45568,889.7069491,11.09821558,789.8230088,486.471783,238.611635,64.73959089,1440.918323,14176.1207
11/15/2024,7,3xTg_10.1A1,18,M,3-3xTg-9,200,25,1020,127.5,111.0901961,14164,311624,4555,3111,453,1019,49.2,5140,385,3,354,252,70,20,668,5112,,8200.543632,5600.854278,68.298573,815.553516,1834.545326,49.2,9253.741881,693.1304716,5.401016662,637.3199661,453.6853996,126.0237221,36.00677775,1202.626377,9203.332392
11/15/2024,8,3xTg_10.1A3,18,M,3-3xTg-9,200,25,1020,127.5,108.2196078,13798,233744,3837,2519,315,176,29.7,3476,413,7,370,240,106,23,178,2981,,7091.136397,4655.348601,65.65024759,582.1495869,325.2645311,29.7,6423.974489,763.2627917,12.93665749,683.7947529,443.5425424,195.8979562,42.50616031,328.9607189,5509.167995
11/15/2024,9,6M_4B,18,F,1-WT-6,200,25,1020,127.5,110.8313725,14131,224296,4609,3080,258,148,43.9,3831,201,3,185,108,64,13,160,3080,,8317.139622,5557.993065,66.82577566,465.5721463,267.072394,43.9,6913.20501,362.7131838,5.413629609,333.8404925,194.8906659,115.490765,23.45906164,288.7269125,5557.993065
11/15/2024,10,6M_4B,18,F,1-WT-6,200,25,1020,127.5,110.2980392,14063,207952,4613,3044,343,1004,42.8,4084,147,1,136,70,51,15,454,4097,,8364.609258,5519.590415,65.98742684,621.9512195,1820.521937,42.8,7405.390031,266.5505226,1.813268862,246.6045652,126.9288203,92.47671194,27.19903292,823.2240631,7428.962526
11/20/2024,1,18M_3B,18,F,4-WT-18,200,25,1020,127.5,123.8352941,15789,298936,3902,2941,745,909,18,4772,257,5,243,65,157,20,608,3985,,6301.919058,4749.857496,75.37160431,1203.211096,1468.079042,18,7707.01121,415.067452,8.075242257,392.4567737,104.9781493,253.5626069,32.30096903,981.9494585,6435.968079
11/20/2024,2,18M_3B,18,F,4-WT-18,200,25,1020,127.5,119.0745098,15182,4.61E+05,7281,5604,180,165,42.1,5678,128,1,124,32,86,6,197,4405,,12229.31761,9412.593861,76.96744953,302.3317086,277.1373996,42.1,9536.885786,214.9914372,1.679620603,208.2729548,53.74785931,144.4473719,10.07772362,330.8852589,7398.728758
11/20/2024,3,6M_4B,18,F,1-WT-6,200,25,1020,127.5,125.8196078,16042,161256,3095,2413,82,98,29.8,2616,54,5,46,13,31,2,60,2003,,4919.741927,3835.650168,77.9644588,130.3453435,155.7785812,29.8,4158.334372,85.83717741,7.947886797,73.12055853,20.66450567,49.27689814,3.179154719,95.37464157,3183.923451
11/20/2024,4,6M_4B,18,F,1-WT-6,200,25,1020,127.5,122.1176471,15570,279552,7318,5583,148,98,28.7,5943,58,1,57,14,34,9,78,4370,,11985.16378,9143.641618,76.29133643,242.38921,160.5009634,28.7,9733.236994,94.99036609,1.637764933,93.35260116,22.92870906,55.68400771,14.73988439,127.7456647,7157.032755
11/20/2024,5,6M_3B,6,F,1-WT-6,200,25,1020,127.5,126.2509804,16097,258320,4904,3798,316,236,17.3,4541,174,4,165,41,106,18,182,3330,,7768.652544,6016.586942,77.44698206,500.5901721,373.8584829,17.3,7193.607505,275.6414239,6.336584457,261.3841088,64.94999068,167.9194881,28.51463006,288.3145928,5275.20656
11/20/2024,6,6M_3B,6,F,1-WT-6,200,25,1020,127.5,119.3568627,15218,348837,7117,5556,287,216,58.9,5967,152,2,145,35,102,8,172,4536,,11925.58155,9309.896176,78.0666011,480.9107636,361.9398081,58.9,9998.587199,254.6983835,3.35129452,242.9688527,58.64765409,170.9160205,13.40517808,288.2113287,7600.735971
11/20/2024,7,18M_1B,18,F,4-WT-18,200,25,1020,127.5,121.3254902,15469,334648,3645,2676,485,634,46.6,4177,684,5,667,80,560,25,124,3406,,6008.630164,4411.274161,73.41563786,799.5022303,1045.122503,46.6,6885.60993,1127.545413,8.242291034,1099.521624,131.8766565,923.1365958,41.21145517,204.4088176,5614.648652
11/20/2024,8,18M_1B,18,F,4-WT-18,200,25,1020,127.5,120.4941176,15363,6.37E+05,9901,7501,439,203,55.2,7046,200,1,189,45,113,31,152,5041,,16433.99727,12450.40031,75.76002424,728.6662761,336.945909,55.2,11695.17672,331.9664128,1.659832064,313.7082601,74.69244288,187.5610232,51.45479399,252.2944737,8367.213435
11/20/2024,9,18M_2B,6,F,4-WT-18,200,25,1020,127.5,119.8588235,15282,286384,6351,4841,221,149,44.2,4824,99,0,93,28,57,8,194,3735,,10597.46761,8077.836671,76.22421666,368.7671771,248.6258343,44.2,8049.469965,165.1943463,0,155.1825677,46.72163329,95.11189635,13.34903808,323.7141735,6232.332155
11/20/2024,10,18M_2B,6,F,4-WT-18,200,25,1020,127.5,117.6,14994,4.38E+05,4155,3170,589,210,24.2,4839,526,5,511,213,267,28,630,3678,,7066.326531,5391.156463,76.29362214,1001.70068,357.1428571,24.2,8229.591837,894.5578231,8.503401361,869.047619,362.244898,454.0816327,47.61904762,1071.428571,6255.102041
11/22/2024,1,9M_1B,18,F,2-WT-9,200,25,1020,127.5,111.9529412,14274,372296,2031,1549,319,660,21.1,1659,302,6,272,163,85,23,368,1825,,3628.310214,2767.234132,76.26784835,569.8823035,1179.066835,21.1,2963.745271,539.5124002,10.71878941,485.9184531,291.1937789,151.8495166,41.08869273,657.4190836,3260.298445
11/22/2024,2,9M_1B,18,F,2-WT-9,200,25,1020,127.5,110.3215686,14066,5.55E+05,3533,2555,164,86,19,1749,352,1,337,195,114,26,116,1618,,6404.912555,4631.913835,72.31814322,297.3126688,155.9078629,19,3170.73084,638.1345087,1.812882127,610.9412768,353.5120148,206.6685625,47.1349353,210.2943267,2933.243282
11/22/2024,3,3xTg_12.1A4,6,M,3-3xTg-9,200,25,1020,127.5,116.0156863,14792,214224,630,478,58,145,84.7,404,50,0,47,27,19,0,93,571,,1086.060032,824.0265008,75.87301587,99.98647918,249.9661979,84.7,696.4575446,86.19524067,0,81.02352623,46.54542996,32.75419145,0,160.3231476,984.3496485
11/22/2024,4,3xTg_12.1A5,6,M,3-3xTg-9,200,25,1020,127.5,114.6509804,14618,4.58E+05,4604,3440,565,709,75.6,3298,301,6,270,132,115,22,1065,3779,,8031.331235,6000.820906,74.71763684,985.5999453,1236.797099,75.6,5753.112601,525.0718293,10.46654809,470.9946641,230.264058,200.6088384,38.377343,1857.812286,6592.180873
11/22/2024,5,6M_2A,6,M,1-WT-6,200,25,1020,127.5,111.8196078,14257,4.75E+05,2691,1940,458,218,29.9,2095,280,11,231,115,93,23,568,2216,,4813.10935,3469.874448,72.09215905,819.1765449,389.9137266,29.9,3747.106684,500.8066213,19.67454584,413.1654626,205.6884338,166.3393421,41.13768675,1015.922003,3963.526689
11/22/2024,6,6M_2A,6,M,1-WT-6,200,25,1020,127.5,109.2235294,13926,4.11E+05,2819,2142,232,268,17.7,1521,181,5,153,72,70,11,317,1641,,5161.891426,3922.231797,75.98439163,424.8168893,490.7367514,17.7,2785.114175,331.4304179,9.155536407,280.159414,131.8397243,128.1775097,20.14218009,580.4610082,3004.847049
11/22/2024,7,WT_3.5A3,6,M,4-WT-18,200,25,1020,127.5,114.3137255,14575,4.83E+05,4007,2861,367,202,19.7,2715,737,2,704,468,207,27,383,2661,,7010.531732,5005.523156,71.40004991,642.0926244,353.4133791,19.7,4750.085763,1289.433962,3.499142367,1231.698113,818.7993139,362.161235,47.23842196,670.0857633,4655.608919
11/22/2024,8,WT_3.5A4,6,M,4-WT-18,200,25,1020,127.5,114.1882353,14559,255648,2662,1976,358,590,17.1,2131,224,2,202,134,48,19,678,2586,,4662.476818,3460.951988,74.22990233,627.0348238,1033.381414,17.1,3732.433546,392.3346384,3.502987843,353.8017721,234.7001855,84.07170822,33.2783845,1187.512879,4529.36328
11/22/2024,9,WT_3.5A5,6,M,4-WT-18,200,25,1020,127.5,113.4823529,14469,7.15E+05,4721,3426,1396,2869,17.4,7356,693,9,621,390,174,56,3425,9733,,8320.236367,6037.943189,72.5693709,2460.294423,5056.292764,17.4,12964.13021,1221.335269,15.86149699,1094.443293,687.3315364,306.6556085,98.69375907,6036.1808,17153.3278
11/22/2024,10,9M_1A,18,M,2-WT-9,200,25,1020,127.5,115.4196078,14716,373288,3615,2743,316,628,29.5,2312,252,2,238,149,80,9,597,2757,,6264.100299,4753.091873,75.87828492,547.5672737,1088.203316,29.5,4006.251699,436.6675727,3.465615656,412.4082631,258.1883664,138.6246263,15.59527045,1034.486273,4777.351182
11/22/2024,11,9M_1A,18,M,2-WT-9,200,25,1020,127.5,112.7058824,14370,7.44E+05,5338,3692,471,833,75,3006,411,6,384,178,194,12,408,3537,,9472.442589,6551.565762,69.16448108,835.8037578,1478.183716,75,5334.237996,729.3319415,10.64718163,681.4196242,315.8663883,344.2588727,21.29436326,724.0083507,6276.51357
1/7/2025,1,18M_4B(3),0,F,4-WT-18,200,25,1020,127.5,117.827451,15023,218704,3169,2511,346,221,21.1,3670,350,2,336,128,192,15,114,2770,,5379.05212,4262.164681,79.23635216,587.2994741,375.1248086,21.1,6229.448179,594.0890634,3.394794648,570.3255009,217.2668575,325.9002862,25.46095986,193.5032949,4701.790588
