Date,Mouse #,Cage #,ZT,Sex,Group,Plated Volume (uL),Plated Beads Volume (uL),Bead Stock Conc (beads/uL),Well Bead Conc (beads/uL),Conversion Factor (Divide Cell Events by this to get conc per well),Counting Bead Events,Total Events,Monocyte/DC Events,MHCII(int) LY-6C+ Events,MHCII+ LY-6C(lo) Events,MHCII- LY-6C(lo) Events,Neutrophil Events,CD45R- (NK Precursor) Events,NK Cell Events,NKT Cell Events,T Cell Events,TCRgd Events,TCRb Events,CD8 Events,CD4 Events,CD-- Events,B Cell Events,Total CD45+ Events,,Monocyte/DC Cells,MHCII(int) LY-6C+ Cells,MHCII+ LY-6C(lo) Cells,MHCII- LY-6C(lo) Cells,Neutrophil Cells,CD45R- (NK Precursor) Cells,NK Cell Cells,NKT Cell Cells,T Cell Cells,TCRgd Cells,TCRb Cells,CD8 Cells,CD4 Cells,CD-- Cells,B Cell Cells,Total CD45+ Cells,,Major Grouping Total,Major Grouping Average,,% Adjustment for Day,,,Adjusted Cell Counts,Monocyte/DC Cells (Adjusted),MHCII(int) LY-6C+ Cells (Adjusted),MHCII+ LY-6C(lo) Cells (Adjusted),MHCII- LY-6C(lo) Cells (Adjusted),Neutrophil Cells (Adjusted),CD45R- (NK Precursor) Cells (Adjusted),NK Cell Cells (Adjusted),NKT Cell Cells (Adjusted),T Cell Cells (Adjusted),TCRgd Cells (Adjusted),TCRb Cells (Adjusted),CD8 Cells (Adjusted),CD4 Cells (Adjusted),CD-- Cells (Adjusted),B Cell Cells (Adjusted),Total CD45+ Cells (Adjusted)
9/18/2024,1,6M_1A,18,M,1-WT-6,200,25,980,122.5,136.6938776,16745,145088,2464,100,2225,54,176,832,28,105,498,19,391,137,191,61,378,1489,,3605.135861,146.312332,3255.449388,79.0086593,257.5097044,1217.318603,40.96745297,153.6279486,728.6354136,27.79934309,572.0812183,200.4478949,279.4565542,89.25052254,553.0606151,2178.590624,,5338.936996,889.8228327,,,,,,2473.729151,100.3948519,2233.785455,54.21322004,176.6949394,835.2851679,28.11055854,105.4145945,499.9663625,19.07502186,392.543871,137.5409471,191.7541672,61.24085967,379.4925402,1494.879345
9/18/2024,2,6M_1A,18,M,1-WT-6,200,25,980,122.5,135.5836735,16609,176680,3810,601,2914,112,1314,1056,64,140,495,25,363,142,169,51,1209,3376,,5620.145704,886.5374195,4298.452646,165.2116322,1938.286471,1557.709675,94.406647,206.5145403,730.1764104,36.87759648,535.4627009,209.464748,249.2925522,75.23029683,1783.400566,4979.950629,,10372.93034,1728.821723,,,,,,3856.364586,608.3136787,2949.460998,113.3629484,1329.990306,1068.850657,64.77882769,141.7036856,501.0237454,25.30422956,367.4174133,143.7280239,171.0565919,51.62062831,1223.712542,3417.08316
9/18/2024,3,3xTg_7.3B,18,F,3-3xTg-9,200,25,980,122.5,140.555102,17218,114424,2565,83,2328,72,170,980,26,82,341,13,263,75,140,48,189,1375,,3649.814148,118.1031479,3312.579858,102.4509235,241.8980137,1394.470903,36.9961668,116.6802184,485.2189569,18.4980834,374.2304565,106.7197119,199.2101289,68.30061563,268.9336741,1956.528052,,4799.541178,799.9235296,,,,,,2504.385965,81.03861018,2272.98656,70.29855341,165.9826956,956.8414214,25.38558873,80.06224139,332.9417599,12.69279437,256.7849937,73.2276598,136.6916316,46.86570227,184.5337027,1342.507096
9/18/2024,5,Aged_38A,18,M,4-WT-18,200,25,980,122.5,137.4285714,16835,130248,1930,202,1560,70,395,617,13,64,319,9,261,112,124,22,1065,2092,,2808.731809,293.970894,2270.27027,101.8711019,574.8440748,897.9209979,18.91891892,93.13929314,464.2411642,13.0977131,379.8336798,162.993763,180.4573805,32.01663202,1549.89605,3044.490644,,5509.77131,918.2952183,,,,,,1927.262112,201.7134438,1557.786992,69.90069835,394.439655,616.1247269,12.98155827,63.90920992,318.5474682,8.987232645,260.6297467,111.8411174,123.8240942,21.96879091,1063.489196,2089.032299
9/18/2024,6,Aged_37A,6,M,4-WT-18,200,25,980,122.5,139.2081633,17053,120488,2889,122,2655,25,125,863,27,60,506,12,413,174,200,33,391,1431,,4150.618659,175.2770773,3814.431478,35.91743388,179.5871694,1239.869818,38.79082859,86.20184132,726.9688618,17.24036826,593.3560077,249.9853398,287.3394711,47.41101273,561.7486659,2055.913915,,5743.916027,957.3193378,,,,,,2848.022035,120.2695356,2617.341123,24.64539664,123.2269832,850.7590919,26.61702837,59.14895193,498.8228279,11.82979039,407.1419524,171.5319606,197.1631731,32.53192356,385.4540034,1410.702503
9/18/2024,7,Aged_37A,6,M,4-WT-18,200,25,980,122.5,135.8857143,16646,164064,3284,304,2717,105,434,1020,21,72,616,13,497,203,228,60,2617,4156,,4833.473507,447.4348192,3998.948696,154.5416316,638.7720774,1501.261564,30.90832632,105.9714045,906.6442389,19.13372582,731.4970563,298.7804878,335.5761144,88.30950378,3851.76619,6116.904962,,10367.53574,1727.922624,,,,,,3316.575235,307.0154907,2743.950948,106.0415346,438.3050097,1030.117765,21.20830692,72.71419516,622.1103364,13.1289519,501.9299305,205.0136336,230.261618,60.59516263,2642.95901,4197.224932
9/18/2024,8,3xTg_7.4A,18,M,3-3xTg-9,200,25,980,122.5,136.6367347,16738,88672,1512,57,1396,14,65,426,20,43,253,7,200,64,119,17,160,788,,2213.167642,83.43290716,2043.374358,20.49229299,95.14278886,623.5512009,29.27470427,62.94061417,370.325009,10.24614649,292.7470427,93.67905365,174.1844904,24.88349863,234.1976341,1153.423348,,3005.048393,500.8413988,,,,,,1518.604991,57.24899769,1402.098259,14.06115733,65.28394474,427.8609301,20.08736761,43.18784036,254.1052003,7.030578664,200.8736761,64.27957635,119.5198373,17.07426247,160.6989409,791.4422839
9/18/2024,9,3xTg_7.4A,18,M,3-3xTg-9,200,25,980,122.5,130.6122449,16000,162936,4099,289,3585,49,592,1438,32,152,821,15,659,243,336,74,769,2910,,6276.59375,442.53125,5489.53125,75.03125,906.5,2201.9375,49,232.75,1257.15625,22.96875,1009.09375,372.09375,514.5,113.3125,1177.53125,4455.9375,,9899.53125,1649.921875,,,,,,4306.798281,303.650818,3766.741116,51.48404873,622.0113643,1510.899226,33.62223591,159.7056206,862.62049,15.76042308,692.4079207,255.3188539,353.033477,77.75142053,807.9843566,3057.522078
11/13/2024,1,6M_3B,6,F,1-WT-6,200,25,980,122.5,141.7061224,17359,331784,4628,158,4277,83,421,880,63,54,263,15,198,56,95,47,525,2463,,6531.82787,222.9967164,6036.436431,117.1438447,594.1874532,1242.007028,88.91641224,76.21406763,371.1907368,21.17057434,279.4515813,79.03681088,134.0803042,66.33446627,740.970102,3476.208307,,8403.306642,1400.551107,,,,,,4685.576942,159.9656778,4330.210151,84.03260288,426.2376604,890.9480788,63.78378291,54.67181392,266.2719826,15.18661498,200.4633177,56.69669592,96.18189487,47.58472693,531.5315243,2493.64218
11/13/2024,2,6M_3B,6,F,1-WT-6,200,25,980,122.5,86.0244898,10538,202128,1929,256,1553,47,741,618,31,29,184,7,137,37,73,24,689,2160,,4484.769406,595.1793509,3610.599734,109.271209,1722.765231,1436.800152,72.07249953,67.42266085,427.7851585,16.27443538,318.5139495,86.02201556,169.7191118,55.79806415,1601.869425,5021.825773,,8376.68438,1396.114063,,,,,,3217.128886,426.9491937,2590.047257,78.38520354,1235.817783,1030.682038,51.70087893,48.36533835,306.869733,11.67439202,228.4845295,61.70750066,121.747231,40.02648691,1149.093728,3602.383822
11/13/2024,3,9M_1B,18,F,2-WT-9,200,25,980,122.5,134.4489796,16470,291528,3131,80,2943,63,132,850,43,44,175,9,140,58,49,32,227,1660,,4657.52884,119.0042502,4377.868852,93.71584699,196.3570128,1264.420158,63.96478446,65.45233758,260.3217972,13.38797814,208.2574378,86.27808136,72.89010322,47.60170006,337.6745598,2469.338191,,5581.299332,930.2165554,,,,,,3341.057078,85.36715626,3140.444261,67.22663555,140.8558078,907.0260352,45.88484649,46.95193594,186.7406543,9.603805079,149.3925235,61.89118829,52.28738321,34.1468625,242.2293059,1771.368492
11/13/2024,4,9M_1B,18,F,2-WT-9,200,25,980,122.5,133.2408163,16322,326168,3698,219,3227,88,126,732,37,39,340,6,297,136,118,42,430,1892,,5550.851611,328.728097,4843.861046,132.0916554,189.1312339,1098.762407,55.53853694,58.54062002,510.3541233,9.006249234,445.8093371,204.1416493,177.1229016,63.04374464,645.4478618,2839.970592,,7009.863987,1168.310665,,,,,,3981.878095,235.8116016,3474.721637,94.75534677,135.6724283,788.1922027,39.84031625,41.99384686,366.1002034,6.460591825,319.7992953,146.4400814,127.0583059,45.22414278,463.0090808,2037.239955
11/13/2024,5,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,131.4285714,16100,322272,2788,70,2620,32,112,611,11,31,215,7,184,52,113,19,126,1209,,4242.608696,106.5217391,3986.956522,48.69565217,170.4347826,929.7826087,16.73913043,47.17391304,327.173913,10.65217391,280,79.13043478,171.9565217,28.91304348,191.7391304,1839.782609,,4995.869565,832.6449275,,,,,,3043.416004,76.41288389,2860.025083,34.93160406,122.2606142,666.9753151,12.0077389,33.83999144,234.6967148,7.641288389,200.8567234,56.7638566,123.3522269,20.74063991,137.543191,1319.759666
11/13/2024,6,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,130.9061224,16036,5.06E+05,3154,196,2760,99,152,547,34,27,190,5,161,65,74,22,533,1839,,4818.720379,299.4512347,4216.762285,151.2534298,232.2274882,835.7133949,51.94562235,41.2509354,290.2843602,7.63906211,245.9778,99.30780743,113.0581192,33.61187329,814.324021,2809.647044,,6248.752806,1041.458801,,,,,,3456.687094,214.8099779,3024.875199,108.5009582,166.5873298,599.4951935,37.26295535,29.59117043,208.2341623,5.479846375,176.4510533,71.23800288,81.10172635,24.11132405,584.1516236,2015.487497
11/13/2024,7,3xTg_12.1B,6,F,3-3xTg-9,200,25,980,122.5,135.1346939,16554,387352,3645,150,3365,67,425,893,31,36,273,6,226,71,120,33,304,2084,,5394.617615,222.0007249,4980.216262,99.16032379,629.0020539,1321.644316,45.88014981,53.28017398,404.0413193,8.880028996,334.4810922,105.0803431,177.6005799,48.84015948,449.9214691,3084.330071,,6976.742781,1162.790464,,,,,,3869.80435,159.2512078,3572.535429,71.13220616,451.2117555,948.0755239,32.91191628,38.22028988,289.8371982,6.370048313,239.9384864,75.37890503,127.4009663,35.03526572,322.7491145,2212.530114
